,Name,mbfc__Abbreviation__c,mbfc__Religious_Suffix__c,mbfc__Type_Members__c,Archdpdx_Migration_Id__c,Pontifical_or_Diocesan_Order__c,Religious_Secular_Order__c,mbfc__Religious_Type__c,RecordTypeId
231,Society of the Holy Child Jesus,Society of the Holy Child Jesus,SHCJ,Women,societyoftheholychildjesus,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
232,Maronite Monks Of Jesus Mary and Joseph,Maronite Monks,MMJMJ,Men,maronitemonksofjesusmaryandjoseph,,,Congregation,012Dx0000003p52IAA
233,"Brigittine Monks, Order of the Most Holy Savior",Brigittines,OSsS,Men,"brigittinemonks,orderofthemostholysavior",,,Congregation,012Dx0000003p52IAA
235,Towarzystwo Chrystusowe,Society of Christ,SCH,Men,towarzystwochrystusowe,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
236,Opera di Gesù Sommo Sacerdote,Work of Jesus the High Priest,OJSS,Men,operadigesùsommosacerdote,,Religious Order,Congregation,012Dx0000003p52IAA
237,Society of the Missionaries of St. Francis Xavier,Society of the Missionaries of St. Francis Xavier,SFX,Men,societyofthemissionariesofst.francisxavi,,,Congregation,012Dx0000003p52IAA
238,Heralds of the Good News,Heralds of the Good News,HGN,Men,heraldsofthegoodnews,,,Congregation,012Dx0000003p52IAA
239,Missionary Oblates of Mary Immaculate,Oblates of Mary Immaculate,OMI,Men,missionaryoblatesofmaryimmaculate,,,Congregation,012Dx0000003p52IAA
240,"Order of Friars Minor, Capuchins",Capuchins,OFM Cap,Men,"orderoffriarsminor,capuchins",,,Congregation,012Dx0000003p52IAA
241,"Order of Friars Minor, Conventual","Franciscans, Conventual",OFM Conv,Men,"orderoffriarsminor,conventual",,,Congregation,012Dx0000003p52IAA
242,Societas Sacerdotum Missionariorum a Sancto Paulo Apostolo,Paulists,CSP,Men,societassacerdotummissionariorumasanctop,,,Congregation,012Dx0000003p52IAA
243,Congregatio Sanctissimi Redemptoris,Redemptorists,CSsR,Men,congregatiosanctissimiredemptoris,,,Congregation,012Dx0000003p52IAA
244,Fratres Franciscani a Renovatione,Franciscan Friars of the Renewal,CFR,Men,fratresfranciscaniarenovatione,,,Congregation,012Dx0000003p52IAA
245,Oblates of the Virgin Mary,Oblates of the Virgin Mary,OMV,Men,oblatesofthevirginmary,,,Congregation,012Dx0000003p52IAA
246,Societas Sancti Francisci Salesii,Society of Saint Francis de Sales,SDB,Men,societassanctifranciscisalesii,,,Congregation,012Dx0000003p52IAA
247,Brothers of Saint John,Brothers of Saint John,CSJ,Men,brothersofsaintjohn,,,Congregation,012Dx0000003p52IAA
248,Sub Mariae Nomine,Marists,SM,Men,submariaenomine,,,Congregation,012Dx0000003p52IAA
249,Fraternità san Carlo Borromeo,Fraternity of St. Charles,FSCB,Men,fraternitàsancarloborromeo,,,Congregation,012Dx0000003p52IAA
250,"Sons of Mary, Mother of Mercy","Sons of Mary, Mother of Mercy",SMMM,Men,"sonsofmary,motherofmercy",,,Congregation,012Dx0000003p52IAA
251,Society of the Divine Word,Society of the Divine Word,SVD,Men,societyofthedivineword,,,Congregation,012Dx0000003p52IAA
252,Society of the Divine Saviour,Society of the Divine Saviour,SDS,Men,societyofthedivinesaviour,,,Congregation,012Dx0000003p52IAA
253,Society of Our Lady of the Most Holy Trinity,Society of Our Lady of the Most Holy Trinity,SOLT,Men,societyofourladyofthemostholytrinity,,,Congregation,012Dx0000003p52IAA
